split,dimension,cell,count,accuracy,macro_accuracy,coverage
repeated_update,blocks,8,23,0.6086956521739131,0.7607044405991101,1.0
repeated_update,blocks,9,25,0.8,0.7607044405991101,1.0
repeated_update,blocks,10,21,0.7142857142857143,0.7607044405991101,1.0
repeated_update,blocks,11,38,0.7631578947368421,0.7607044405991101,1.0
repeated_update,blocks,12,23,0.7391304347826086,0.7607044405991101,1.0
repeated_update,blocks,13,39,0.7948717948717948,0.7607044405991101,1.0
repeated_update,blocks,14,30,0.8333333333333334,0.7607044405991101,1.0
repeated_update,blocks,15,26,0.8846153846153846,0.7607044405991101,1.0
repeated_update,blocks,16,30,0.7666666666666667,0.7607044405991101,1.0
repeated_update,blocks,17,35,0.7714285714285715,0.7607044405991101,1.0
repeated_update,blocks,18,27,0.6666666666666666,0.7607044405991101,1.0
repeated_update,blocks,19,32,0.6875,0.7607044405991101,1.0
repeated_update,blocks,20,33,0.8181818181818182,0.7607044405991101,1.0
repeated_update,blocks,21,28,0.7857142857142857,0.7607044405991101,1.0
repeated_update,blocks,22,22,0.7727272727272727,0.7607044405991101,1.0
repeated_update,blocks,23,40,0.775,0.7607044405991101,1.0
repeated_update,blocks,24,40,0.75,0.7607044405991101,1.0
repeated_update,distance,0,289,0.7716262975778547,0.7577194361812759,1.0
repeated_update,distance,1-2,117,0.8034188034188035,0.7577194361812759,1.0
repeated_update,distance,3+,106,0.6981132075471698,0.7577194361812759,1.0
repeated_update,truth,00,66,0.6060606060606061,0.7346573028571333,1.0
repeated_update,truth,01,53,0.8113207547169812,0.7346573028571333,1.0
repeated_update,truth,10,59,0.7966101694915254,0.7346573028571333,1.0
repeated_update,truth,11,69,0.7246376811594203,0.7346573028571333,1.0
repeated_update,truth_table,AND:00,22,0.9545454545454546,0.7432762406675449,1.0
repeated_update,truth_table,AND:01,18,0.7222222222222222,0.7432762406675449,1.0
repeated_update,truth_table,AND:10,22,0.6363636363636364,0.7432762406675449,1.0
repeated_update,truth_table,AND:11,24,0.5833333333333334,0.7432762406675449,1.0
repeated_update,truth_table,OR:00,21,0.3333333333333333,0.7432762406675449,1.0
repeated_update,truth_table,OR:01,15,1.0,0.7432762406675449,1.0
repeated_update,truth_table,OR:10,19,1.0,0.7432762406675449,1.0
repeated_update,truth_table,OR:11,20,1.0,0.7432762406675449,1.0
repeated_update,truth_table,XOR:00,23,0.5217391304347826,0.7432762406675449,1.0
repeated_update,truth_table,XOR:01,20,0.75,0.7432762406675449,1.0
repeated_update,truth_table,XOR:10,18,0.7777777777777778,0.7432762406675449,1.0
repeated_update,truth_table,XOR:11,25,0.64,0.7432762406675449,1.0
first_read_after_set,operator,initialization,111,0.9369369369369369,0.8151490337044737,1.0
first_read_after_set,operator,SET,191,0.9581151832460733,0.8151490337044737,1.0
first_read_after_set,operator,NOT,86,0.6744186046511628,0.8151490337044737,1.0
first_read_after_set,operator,AND,45,0.7777777777777778,0.8151490337044737,1.0
first_read_after_set,operator,OR,41,0.7804878048780488,0.8151490337044737,1.0
first_read_after_set,operator,XOR,38,0.7631578947368421,0.8151490337044737,1.0
first_read_after_set,query_var,A,117,0.8547008547008547,0.8593166490893763,1.0
first_read_after_set,query_var,B,126,0.8492063492063492,0.8593166490893763,1.0
first_read_after_set,query_var,C,148,0.8986486486486487,0.8593166490893763,1.0
first_read_after_set,query_var,D,121,0.8347107438016529,0.8593166490893763,1.0
first_read_after_set,answer,0,272,0.7977941176470589,0.8655637254901961,1.0
first_read_after_set,answer,1,240,0.9333333333333333,0.8655637254901961,1.0
first_read_after_set,blocks,8,28,0.75,0.8599342226514236,1.0
first_read_after_set,blocks,9,23,0.9565217391304348,0.8599342226514236,1.0
first_read_after_set,blocks,10,36,0.8055555555555556,0.8599342226514236,1.0
first_read_after_set,blocks,11,25,0.8,0.8599342226514236,1.0
first_read_after_set,blocks,12,34,0.9117647058823529,0.8599342226514236,1.0
first_read_after_set,blocks,13,29,0.9310344827586207,0.8599342226514236,1.0
first_read_after_set,blocks,14,39,0.8974358974358975,0.8599342226514236,1.0
first_read_after_set,blocks,15,28,0.75,0.8599342226514236,1.0
first_read_after_set,blocks,16,25,0.88,0.8599342226514236,1.0
first_read_after_set,blocks,17,28,0.8214285714285714,0.8599342226514236,1.0
first_read_after_set,blocks,18,33,0.9696969696969697,0.8599342226514236,1.0
first_read_after_set,blocks,19,31,0.967741935483871,0.8599342226514236,1.0
first_read_after_set,blocks,20,44,0.8409090909090909,0.8599342226514236,1.0
first_read_after_set,blocks,21,27,0.8148148148148148,0.8599342226514236,1.0
first_read_after_set,blocks,22,26,0.8076923076923077,0.8599342226514236,1.0
first_read_after_set,blocks,23,28,0.8928571428571429,0.8599342226514236,1.0
first_read_after_set,blocks,24,28,0.8214285714285714,0.8599342226514236,1.0
first_read_after_set,distance,0,283,0.872791519434629,0.839014504893334,1.0
first_read_after_set,distance,1-2,151,0.9006622516556292,0.839014504893334,1.0
first_read_after_set,distance,3+,78,0.7435897435897436,0.839014504893334,1.0
first_read_after_set,truth,00,32,0.46875,0.7781215239154616,1.0
first_read_after_set,truth,01,29,0.9310344827586207,0.7781215239154616,1.0
first_read_after_set,truth,10,32,0.90625,0.7781215239154616,1.0
first_read_after_set,truth,11,31,0.8064516129032258,0.7781215239154616,1.0
first_read_after_set,truth_table,AND:00,14,0.8571428571428571,0.7524531024531025,1.0
first_read_after_set,truth_table,AND:01,10,0.9,0.7524531024531025,1.0
first_read_after_set,truth_table,AND:10,14,0.7857142857142857,0.7524531024531025,1.0
first_read_after_set,truth_table,AND:11,7,0.42857142857142855,0.7524531024531025,1.0
first_read_after_set,truth_table,OR:00,11,0.18181818181818182,0.7524531024531025,1.0
first_read_after_set,truth_table,OR:01,9,1.0,0.7524531024531025,1.0
first_read_after_set,truth_table,OR:10,9,1.0,0.7524531024531025,1.0
first_read_after_set,truth_table,OR:11,12,1.0,0.7524531024531025,1.0
first_read_after_set,truth_table,XOR:00,7,0.14285714285714285,0.7524531024531025,1.0
first_read_after_set,truth_table,XOR:01,10,0.9,0.7524531024531025,1.0
first_read_after_set,truth_table,XOR:10,9,1.0,0.7524531024531025,1.0
first_read_after_set,truth_table,XOR:11,12,0.8333333333333334,0.7524531024531025,1.0
