task,size,subset,positions,balanced_accuracy,macro_f1,auroc,ci95
seed0_init_l0_u_full_previous_transfer,full,all,4644,0.5,0.34202323604420515,0.6473610589944309,"[0.5, 0.5]"
seed0_init_l0_u_full_previous_transfer,full,current_ne_previous,2530,0.5,0.3301562086311888,0.5515128748591319,"[0.5, 0.5]"
seed0_init_l0_u_full_query_iid,full,all,20000,1.0,1.0,,"[1.0, 1.0]"
seed0_init_l0_u_full_state_iid,full,all,20000,0.1023364395489133,0.04736027178675125,,"[0.09944867432829488, 0.10521444158948909]"
seed0_init_l1_h_full_A_iid,full,all,20000,0.6062594944679836,0.6062661854493684,0.6488958065059696,"[0.59425868315985, 0.6168056556622038]"
seed0_init_l1_h_full_B_iid,full,all,20000,0.5999924391985887,0.5998834293977733,0.6388607221129706,"[0.5884539952345571, 0.6125920824418449]"
seed0_init_l1_h_full_C_iid,full,all,20000,0.6094438538265583,0.606764514157243,0.6577969979628492,"[0.5982691281114043, 0.6200937322665665]"
seed0_init_l1_h_full_D_iid,full,all,20000,0.6230511207497642,0.6230368968774816,0.6732162864237264,"[0.6117507748931961, 0.6338595976492508]"
seed0_init_l1_h_full_current_iid,full,all,20000,0.5848778410765025,0.5839627909609264,0.6204127051141298,"[0.5776634916506216, 0.592515580522826]"
seed0_init_l1_h_full_current_iid,full,current_ne_previous,9976,0.48493925830174056,0.48376881308303465,0.47223350343581283,"[0.47579611369833674, 0.49425015001028316]"
seed0_init_l1_h_full_current_transfer,full,all,4979,0.5378447051463146,0.4611651293663215,0.6261195489486328,"[0.5283057761086023, 0.5479863090474465]"
seed0_init_l1_h_full_current_transfer,full,current_ne_previous,2530,0.4900371960515057,0.3986786980101493,0.4551650383367471,"[0.4775970968842955, 0.5030466398718589]"
seed0_init_l1_h_full_previous_iid,full,all,18617,0.6042526614966135,0.604208965850517,0.6479481040924988,"[0.5964428107319918, 0.6116210013104143]"
seed0_init_l1_h_full_previous_iid,full,current_ne_previous,9976,0.5358381646939281,0.535775582008897,0.5485816620523556,"[0.52628982077358, 0.5458935498774041]"
seed0_init_l1_h_full_previous_transfer,full,all,4644,0.5695905053109477,0.5028634755209387,0.6538605147105264,"[0.5560764935738017, 0.5829857466300459]"
seed0_init_l1_h_full_previous_transfer,full,current_ne_previous,2530,0.5246621509705913,0.4480700515111623,0.5532711086498477,"[0.5117292330931289, 0.5392188146405129]"
seed0_init_l1_h_full_query_iid,full,all,20000,1.0,1.0,,"[1.0, 1.0]"
seed0_init_l1_h_full_state_iid,full,all,20000,0.11040090382900383,0.053180208510200735,,"[0.10774922361957825, 0.11306531811932594]"
seed0_init_l1_m_full_A_iid,full,all,20000,0.604506180252796,0.6045258625467931,0.6462619886701597,"[0.5928818745798955, 0.615565242124987]"
seed0_init_l1_m_full_B_iid,full,all,20000,0.597495893792394,0.5973852938961679,0.6381833619621805,"[0.5854040719979656, 0.609350928374573]"
seed0_init_l1_m_full_C_iid,full,all,20000,0.6088161939147365,0.6058961200327128,0.6563585308700902,"[0.5986058703066681, 0.6194023120229855]"
seed0_init_l1_m_full_D_iid,full,all,20000,0.6211227492719741,0.6210961305421216,0.6711177344807432,"[0.6095040969885973, 0.6321245871623399]"
seed0_init_l1_m_full_current_iid,full,all,20000,0.5807513784233194,0.5797794640640596,0.6183366431452905,"[0.5731221358429734, 0.5882041169875515]"
seed0_init_l1_m_full_current_iid,full,current_ne_previous,9976,0.4783282527677828,0.4771786404040639,0.4690466945776217,"[0.46802269330075014, 0.4883638018182623]"
seed0_init_l1_m_full_current_transfer,full,all,4979,0.5003793626707133,0.3208401173268373,0.6244529761916328,"[0.5, 0.5009758096817054]"
seed0_init_l1_m_full_current_transfer,full,current_ne_previous,2530,0.5,0.3301562086311888,0.4602228512889235,"[0.5, 0.5]"
seed0_init_l1_m_full_previous_iid,full,all,18617,0.6018086410579637,0.5945778667965537,0.6478005565422466,"[0.594205664984048, 0.6100282060799673]"
seed0_init_l1_m_full_previous_iid,full,current_ne_previous,9976,0.5327587149384705,0.5233596375030052,0.5495073780744657,"[0.5239517664029925, 0.54191225968535]"
seed0_init_l1_m_full_previous_transfer,full,all,4644,0.5213892428695094,0.37757770892671616,0.6512282611522472,"[0.5151880022630032, 0.5282388702425628]"
seed0_init_l1_m_full_previous_transfer,full,current_ne_previous,2530,0.5093571414731286,0.3645412751036074,0.5495027504826862,"[0.50418446797738, 0.5149410255243673]"
seed0_init_l1_m_full_query_iid,full,all,20000,1.0,1.0,,"[1.0, 1.0]"
seed0_init_l1_m_full_state_iid,full,all,20000,0.10852100779419754,0.050662082398042894,,"[0.10579676622355297, 0.11127437064476997]"
seed0_init_l1_u_full_A_iid,full,all,20000,0.6056718013336133,0.6056800950369107,0.6491936172088979,"[0.5931795362090337, 0.617429386225998]"
seed0_init_l1_u_full_B_iid,full,all,20000,0.5999234954165293,0.5998035067297922,0.6393910188726248,"[0.588684870681344, 0.6117294292101575]"
seed0_init_l1_u_full_C_iid,full,all,20000,0.6089067475088086,0.6060887018232701,0.6584729747923695,"[0.598647400137032, 0.6191302512138561]"
seed0_init_l1_u_full_D_iid,full,all,20000,0.6243709881670153,0.6243773989521946,0.6728884424442958,"[0.6138170272820787, 0.6345746814282831]"
seed0_init_l1_u_full_current_iid,full,all,20000,0.5839490707172157,0.5831251800036918,0.6213997738284043,"[0.576484391876806, 0.5909035066602629]"
seed0_init_l1_u_full_current_iid,full,current_ne_previous,9976,0.48375690136950183,0.482736241498322,0.4744276324886089,"[0.47486999349014863, 0.4925252966517888]"
seed0_init_l1_u_full_current_transfer,full,all,4979,0.5987456906796922,0.5912015457200512,0.6377356889763652,"[0.5831340377693895, 0.6133453368467626]"
seed0_init_l1_u_full_current_transfer,full,current_ne_previous,2530,0.4789774492296711,0.46851938095152657,0.4653969214345138,"[0.459365715719076, 0.4989937515472106]"
seed0_init_l1_u_full_previous_iid,full,all,18617,0.6023376494860027,0.6022998217434931,0.6477408931996145,"[0.5941910916377255, 0.6101194300527245]"
seed0_init_l1_u_full_previous_iid,full,current_ne_previous,9976,0.531507706060343,0.5314743360953823,0.5468482406130121,"[0.520967214079891, 0.5410746155452478]"
seed0_init_l1_u_full_previous_transfer,full,all,4644,0.5778582335479509,0.5431817449903842,0.6564610028941785,"[0.5642413232899433, 0.5910315669743618]"
seed0_init_l1_u_full_previous_transfer,full,current_ne_previous,2530,0.5253478183962633,0.48251805418019067,0.5453331174866445,"[0.5069087691249513, 0.5420746698641827]"
seed0_init_l1_u_full_query_iid,full,all,20000,1.0,1.0,,"[1.0, 1.0]"
seed0_init_l1_u_full_state_iid,full,all,20000,0.1102530728552839,0.05349001430663708,,"[0.10736050716408511, 0.11312068997574028]"
seed0_init_l2_h_full_A_iid,full,all,20000,0.6111907391862856,0.6112239612339501,0.6534901897800957,"[0.5998543259889643, 0.6226182381226454]"
seed0_init_l2_h_full_B_iid,full,all,20000,0.6019365137637005,0.6018535723227185,0.6409413734097701,"[0.5900224561921584, 0.6136090790784324]"
