update,tokens,current_ce,best_ce,general_accuracy,other_variable,repeated_update,first_read_after_set
840,6206042,0.6025222321294532,0.6025222321294532,0.6360298617060335,0.576171875,0.638671875,0.68359375
853,6303237,0.6046794305065755,0.6025222321294532,0.6351731734181862,0.599609375,0.662109375,0.701171875
867,6406393,0.6026126599560941,0.6025222321294532,0.6350507893770653,0.587890625,0.609375,0.669921875
880,6502643,0.5969648665379587,0.5969648665379587,0.6350507893770653,0.595703125,0.6640625,0.705078125
894,6606832,0.5998848719692642,0.5969648665379587,0.6365193978705177,0.591796875,0.654296875,0.71484375
907,6702296,0.5951041295032995,0.5951041295032995,0.6328478766368866,0.58984375,0.65625,0.6953125
921,6804863,0.5979891848997633,0.5951041295032995,0.6330926447191286,0.583984375,0.62109375,0.6640625
934,6902291,0.5939341683789637,0.5939341683789637,0.6208542406070249,0.58984375,0.65234375,0.69921875
947,7000082,0.5847470905381482,0.5847470905381482,0.6355403255415494,0.59765625,0.66015625,0.712890625
961,7104311,0.5816148692574897,0.5816148692574897,0.6306449638967079,0.583984375,0.64453125,0.708984375
974,7200175,0.5808971367259841,0.5808971367259841,0.630767347937829,0.55078125,0.630859375,0.69921875
988,7304777,0.572159565745163,0.572159565745163,0.6308897319789499,0.56640625,0.615234375,0.677734375
1001,7402464,0.5729437464054411,0.572159565745163,0.6294211234854975,0.552734375,0.623046875,0.6953125
1015,7505558,0.5718623739083094,0.5718623739083094,0.6367641659527598,0.58984375,0.6796875,0.697265625
1028,7601277,0.5625090633316453,0.5625090633316453,0.634316485130339,0.59765625,0.630859375,0.697265625
1042,7704610,0.5603509592432622,0.5603509592432622,0.6480234977358953,0.587890625,0.615234375,0.6875
1055,7802311,0.5605187076224276,0.5603509592432622,0.6421490637620855,0.60546875,0.66015625,0.68359375
1069,7905223,0.5576749716651389,0.5576749716651389,0.6501040264349529,0.59375,0.642578125,0.701171875
1082,8001583,0.5567582049297075,0.5567582049297075,0.6487578019826215,0.595703125,0.64453125,0.69140625
1096,8104817,0.5579751333988416,0.5567582049297075,0.6444743605433851,0.599609375,0.658203125,0.697265625
1109,8202273,0.5588726701556619,0.5567582049297075,0.6448415126667483,0.591796875,0.685546875,0.69921875
1123,8306093,0.5511511419698588,0.5511511419698588,0.6646677273283563,0.62890625,0.66796875,0.7109375
1136,8400828,0.548616768089249,0.548616768089249,0.6788642760983967,0.626953125,0.677734375,0.708984375
1150,8503835,0.5492234154881458,0.548616768089249,0.6496144902704687,0.6171875,0.6796875,0.701171875
1164,8605586,0.5391837992618667,0.5391837992618667,0.6854730143189328,0.63671875,0.66015625,0.703125
1177,8702615,0.5406453056677423,0.5391837992618667,0.689389303634806,0.638671875,0.693359375,0.705078125
1191,8807614,0.5338355221952812,0.5338355221952812,0.6884102313058377,0.611328125,0.673828125,0.712890625
1204,8902434,0.5308348645356745,0.5308348645356745,0.699057642883368,0.658203125,0.666015625,0.724609375
1218,9005233,0.5182860220690477,0.5182860220690477,0.6974666503487945,0.638671875,0.677734375,0.712890625
1231,9100067,0.515797026338118,0.515797026338118,0.7011381715824256,0.630859375,0.689453125,0.716796875
1245,9205171,0.5110151841446074,0.5110151841446074,0.705666381103904,0.6328125,0.6953125,0.71484375
1258,9302529,0.5006663960954301,0.5006663960954301,0.7089707502141721,0.6328125,0.701171875,0.72265625
1271,9400314,0.5021641168395394,0.5006663960954301,0.7077469098029617,0.654296875,0.69140625,0.748046875
1285,9504699,0.5003058105052245,0.5003058105052245,0.7098274385020193,0.650390625,0.689453125,0.751953125
1298,9602865,0.4911950559254675,0.4911950559254675,0.7123975033655612,0.66015625,0.6953125,0.70703125
1312,9706269,0.5055116146954266,0.4911950559254675,0.7032187002814833,0.66015625,0.681640625,0.71875
1325,9801342,0.481541554520417,0.481541554520417,0.7168033288459185,0.638671875,0.68359375,0.724609375
1339,9903210,0.48762052118366306,0.481541554520417,0.7160690245991923,0.630859375,0.689453125,0.728515625
1353,10006996,0.47822536303019036,0.47822536303019036,0.7259821319299963,0.66796875,0.693359375,0.7578125
1366,10103817,0.47171185434542995,0.47171185434542995,0.7231672989842125,0.666015625,0.69921875,0.740234375
1379,10201068,0.4664237806562682,0.4664237806562682,0.7265940521356015,0.67578125,0.6875,0.740234375
1393,10306416,0.465622377796118,0.465622377796118,0.7289193489169012,0.662109375,0.708984375,0.765625
1406,10403667,0.4714375947728724,0.465622377796118,0.7235344511075755,0.6640625,0.712890625,0.75
1420,10506923,0.46251297295706745,0.46251297295706745,0.7286745808346592,0.66796875,0.6875,0.73046875
1433,10604232,0.46976153331241927,0.46251297295706745,0.7284298127524171,0.673828125,0.70703125,0.75390625
1446,10701473,0.4663883286991101,0.46251297295706745,0.7335699424795007,0.685546875,0.689453125,0.75
1460,10806833,0.4607051108066374,0.4607051108066374,0.727817892546812,0.685546875,0.69140625,0.755859375
1473,10903076,0.45860150955725026,0.45860150955725026,0.7343042467262269,0.701171875,0.724609375,0.748046875
1487,11006872,0.4494586326897107,0.4494586326897107,0.7323461020682903,0.705078125,0.71484375,0.744140625
1500,11103719,0.4600947154393214,0.4494586326897107,0.7322237180271692,0.685546875,0.6953125,0.73828125
1514,11207477,0.44206482735533154,0.44206482735533154,0.7383429200832211,0.697265625,0.69921875,0.744140625
1527,11301928,0.45242420940304556,0.44206482735533154,0.7355280871374372,0.71484375,0.703125,0.76953125
1541,11405652,0.4410861492854648,0.4410861492854648,0.741402521111247,0.71484375,0.705078125,0.76171875
1554,11502072,0.43237101504665926,0.43237101504665926,0.7445845061803941,0.716796875,0.72265625,0.763671875
1568,11605832,0.4265760138736355,0.4265760138736355,0.74764410720842,0.732421875,0.732421875,0.78125
1581,11701811,0.4278515710185902,0.4265760138736355,0.7453188104271203,0.73046875,0.73046875,0.779296875
1595,11806930,0.4370022446370538,0.4265760138736355,0.7467874189205728,0.720703125,0.705078125,0.763671875
1608,11901669,0.4249698191523371,0.4249698191523371,0.7516827805654143,0.740234375,0.72265625,0.779296875
1622,12005081,0.41806053989838704,0.41806053989838704,0.7553543017990454,0.736328125,0.732421875,0.783203125
1635,12100780,0.4274308754470086,0.41806053989838704,0.7529066209766246,0.771484375,0.73046875,0.796875
1649,12203795,0.4192699498997802,0.41806053989838704,0.7559662220046506,0.763671875,0.748046875,0.8046875
1663,12306607,0.416902795291795,0.416902795291795,0.7537633092644719,0.73828125,0.728515625,0.798828125
1676,12403413,0.41187770855941597,0.41187770855941597,0.7537633092644719,0.736328125,0.7421875,0.791015625
1690,12507079,0.40392581361454,0.40392581361454,0.7640435687186391,0.7421875,0.744140625,0.8125
1703,12604506,0.4071684676822631,0.40392581361454,0.7620854240607025,0.751953125,0.740234375,0.791015625
1716,12701400,0.4064641435748132,0.40392581361454,0.7651450250887284,0.744140625,0.751953125,0.833984375
1730,12804116,0.40313096846816415,0.40313096846816415,0.7738342920083221,0.763671875,0.775390625,0.796875
1743,12901582,0.40550578727131065,0.40313096846816415,0.770162770774691,0.7578125,0.7421875,0.8203125
1757,13006313,0.398047094384456,0.398047094384456,0.7765267409129849,0.76171875,0.744140625,0.82421875
1770,13103702,0.39942533532596647,0.398047094384456,0.7764043568718639,0.771484375,0.7421875,0.8046875
1783,13201817,0.402723595751715,0.398047094384456,0.7667360176233019,0.748046875,0.740234375,0.798828125
1797,13305431,0.3930080059232249,0.3930080059232249,0.7757924366662587,0.783203125,0.783203125,0.83203125
1810,13402169,0.38515831485129426,0.38515831485129426,0.7830130950923999,0.748046875,0.763671875,0.83203125
1823,13500742,0.4170854869647413,0.38515831485129426,0.7722432994737486,0.76953125,0.767578125,0.828125
1837,13604765,0.3908303473105732,0.38515831485129426,0.7808101823522212,0.791015625,0.76953125,0.828125
1850,13701125,0.37815950492577266,0.37815950492577266,0.7869293844082732,0.775390625,0.775390625,0.837890625
1864,13804215,0.38679550136171365,0.37815950492577266,0.7822787908456738,0.77734375,0.7890625,0.8359375
1878,13907167,0.3776117588921455,0.3776117588921455,0.7886427609839677,0.78125,0.775390625,0.84765625
1891,14004732,0.3835291557299848,0.3776117588921455,0.7828907110512789,0.7890625,0.79296875,0.84375
1904,14101547,0.38956684496005484,0.3776117588921455,0.7868070003671521,0.765625,0.7578125,0.833984375
1918,14205563,0.36891107182853783,0.36891107182853783,0.7940276587932934,0.791015625,0.8046875,0.857421875
1931,14303226,0.3793044798954219,0.36891107182853783,0.7870517684493942,0.771484375,0.8046875,0.849609375
1945,14406979,0.3821441010644849,0.36891107182853783,0.7870517684493942,0.76953125,0.771484375,0.837890625
1958,14503437,0.3689493895419303,0.36891107182853783,0.7963529555745931,0.798828125,0.787109375,0.849609375
1972,14606684,0.37759924908986986,0.36891107182853783,0.7876636886549994,0.806640625,0.79296875,0.849609375
1985,14704139,0.37109179253001195,0.36891107182853783,0.7957410353689879,0.802734375,0.794921875,0.841796875
1998,14800797,0.3714235139002755,0.36891107182853783,0.792803818382083,0.796875,0.783203125,0.837890625
2012,14904532,0.36710640214869267,0.36710640214869267,0.7973320279035614,0.8125,0.77734375,0.83984375
2025,15000191,0.36733962150064847,0.36710640214869267,0.796230571533472,0.79296875,0.771484375,0.84375
2039,15103896,0.3656022462093298,0.3656022462093298,0.8006363970138294,0.806640625,0.798828125,0.841796875
2053,15207112,0.37827081851861355,0.3656022462093298,0.7921918981764778,0.787109375,0.791015625,0.826171875
2066,15302983,0.361622847864584,0.361622847864584,0.8028393097540081,0.8046875,0.8203125,0.84765625
2079,15400059,0.3512430135034524,0.3512430135034524,0.8082242075633338,0.8046875,0.798828125,0.849609375
2093,15503450,0.3536272580334564,0.3512430135034524,0.8073675192754864,0.8046875,0.802734375,0.845703125
2107,15607059,0.35252328563090535,0.3512430135034524,0.8074899033166075,0.83203125,0.814453125,0.8515625
2120,15702608,0.3537087551967405,0.3512430135034524,0.8057765267409129,0.810546875,0.796875,0.861328125
2133,15800203,0.3546576383279229,0.3512430135034524,0.8078570554399707,0.794921875,0.76171875,0.8359375
2147,15903747,0.35123480502924787,0.35123480502924787,0.8074899033166075,0.806640625,0.794921875,0.85546875
2160,16001083,0.3499200194836791,0.3499200194836791,0.8072451352343655,0.8125,0.763671875,0.861328125
